,Constrain,Graph,Prop_Correct,Network
180,4,6,0.35204542,Alexnet
181,4,6,0.33946285,VGG16
182,4,6,0.3487069,Resnet50
183,4,6,0.35543677,Alexnet
184,4,6,0.34315366,VGG16
185,4,6,0.34871724,Resnet50
186,4,6,0.35412514,Alexnet
187,4,6,0.3433842,VGG16
188,4,6,0.34668735,Resnet50
189,4,6,0.35095522,Alexnet
190,4,6,0.34317532,VGG16
191,4,6,0.34404418,Resnet50
192,4,6,0.35274133,Alexnet
193,4,6,0.34362587,VGG16
194,4,6,0.34633464,Resnet50
195,4,6,0.35016406,Alexnet
196,4,6,0.34423837,VGG16
197,4,6,0.34557354,Resnet50
198,4,6,0.3509744,Alexnet
199,4,6,0.34052262,VGG16
200,4,6,0.34235147,Resnet50
201,4,6,0.35397306,Alexnet
202,4,6,0.34633234,VGG16
203,4,6,0.3435676,Resnet50
204,4,6,0.35343987,Alexnet
205,4,6,0.3405435,VGG16
206,4,6,0.34266987,Resnet50
207,4,6,0.35456872,Alexnet
208,4,6,0.34397796,VGG16
209,4,6,0.34708762,Resnet50
210,4,7,0.34542474,Alexnet
211,4,7,0.33794942,VGG16
212,4,7,0.34370518,Resnet50
213,4,7,0.34552184,Alexnet
214,4,7,0.33771625,VGG16
215,4,7,0.34306967,Resnet50
216,4,7,0.34206015,Alexnet
217,4,7,0.33923528,VGG16
218,4,7,0.34038636,Resnet50
219,4,7,0.34843415,Alexnet
220,4,7,0.33849722,VGG16
221,4,7,0.34407064,Resnet50
222,4,7,0.34968108,Alexnet
223,4,7,0.3382578,VGG16
224,4,7,0.34540987,Resnet50
225,4,7,0.34222734,Alexnet
226,4,7,0.33756182,VGG16
227,4,7,0.3407566,Resnet50
228,4,7,0.34704593,Alexnet
229,4,7,0.33812678,VGG16
230,4,7,0.3444656,Resnet50
231,4,7,0.34280163,Alexnet
232,4,7,0.33776957,VGG16
233,4,7,0.33972675,Resnet50
234,4,7,0.3477481,Alexnet
235,4,7,0.3379928,VGG16
236,4,7,0.3440422,Resnet50
237,4,7,0.34718585,Alexnet
238,4,7,0.33767197,VGG16
239,4,7,0.34081468,Resnet50
240,4,8,0.34215,Alexnet
241,4,8,0.33335328,VGG16
242,4,8,0.33734453,Resnet50
243,4,8,0.34266093,Alexnet
244,4,8,0.33333427,VGG16
245,4,8,0.3407419,Resnet50
246,4,8,0.34151965,Alexnet
247,4,8,0.33390257,VGG16
248,4,8,0.3404049,Resnet50
249,4,8,0.33827114,Alexnet
250,4,8,0.33255383,VGG16
251,4,8,0.33669302,Resnet50
252,4,8,0.3441999,Alexnet
253,4,8,0.33396816,VGG16
254,4,8,0.33971378,Resnet50
255,4,8,0.34646082,Alexnet
256,4,8,0.33551082,VGG16
257,4,8,0.342007,Resnet50
258,4,8,0.34359285,Alexnet
259,4,8,0.33371827,VGG16
260,4,8,0.3392213,Resnet50
261,4,8,0.34223592,Alexnet
262,4,8,0.33330292,VGG16
263,4,8,0.34031335,Resnet50
264,4,8,0.3440883,Alexnet
265,4,8,0.3338446,VGG16
266,4,8,0.34097332,Resnet50
267,4,8,0.33945516,Alexnet
268,4,8,0.33524397,VGG16
269,4,8,0.34012336,Resnet50
270,4,9,0.33028907,Alexnet
271,4,9,0.335156,VGG16
272,4,9,0.3314045,Resnet50
273,4,9,0.3352611,Alexnet
274,4,9,0.33422348,VGG16
275,4,9,0.33742407,Resnet50
276,4,9,0.32679987,Alexnet
277,4,9,0.33535126,VGG16
278,4,9,0.3258849,Resnet50
279,4,9,0.34281954,Alexnet
280,4,9,0.3416415,VGG16
281,4,9,0.3491224,Resnet50
282,4,9,0.32657045,Alexnet
283,4,9,0.33138704,VGG16
284,4,9,0.32943475,Resnet50
285,4,9,0.3409067,Alexnet
286,4,9,0.3407814,VGG16
287,4,9,0.3416037,Resnet50
288,4,9,0.33510804,Alexnet
289,4,9,0.33852997,VGG16
290,4,9,0.33306774,Resnet50
291,4,9,0.32031128,Alexnet
292,4,9,0.33050677,VGG16
293,4,9,0.32631052,Resnet50
294,4,9,0.33161548,Alexnet
295,4,9,0.33721223,VGG16
296,4,9,0.3411888,Resnet50
297,4,9,0.33377042,Alexnet
298,4,9,0.33845773,VGG16
299,4,9,0.3297666,Resnet50
300,4,10,0.34239367,Alexnet
301,4,10,0.33292624,VGG16
302,4,10,0.3438255,Resnet50
303,4,10,0.34197444,Alexnet
304,4,10,0.33383262,VGG16
305,4,10,0.34764695,Resnet50
306,4,10,0.34359932,Alexnet
307,4,10,0.33367586,VGG16
308,4,10,0.35061228,Resnet50
309,4,10,0.34459984,Alexnet
310,4,10,0.33757895,VGG16
311,4,10,0.34682605,Resnet50
312,4,10,0.34669095,Alexnet
313,4,10,0.33880773,VGG16
314,4,10,0.3485293,Resnet50
315,4,10,0.34507957,Alexnet
316,4,10,0.34063813,VGG16
317,4,10,0.3482659,Resnet50
318,4,10,0.34308994,Alexnet
319,4,10,0.33600575,VGG16
320,4,10,0.34223354,Resnet50
321,4,10,0.3448212,Alexnet
322,4,10,0.3399723,VGG16
323,4,10,0.3537556,Resnet50
324,4,10,0.34197712,Alexnet
325,4,10,0.33857146,VGG16
326,4,10,0.34540942,Resnet50
327,4,10,0.3433111,Alexnet
328,4,10,0.33712414,VGG16
329,4,10,0.3492568,Resnet50
330,4,11,0.3414906,Alexnet
331,4,11,0.3329498,VGG16
332,4,11,0.34853977,Resnet50
333,4,11,0.34604937,Alexnet
334,4,11,0.33381867,VGG16
335,4,11,0.34976223,Resnet50
336,4,11,0.34454998,Alexnet
337,4,11,0.33661994,VGG16
338,4,11,0.350485,Resnet50
339,4,11,0.34399465,Alexnet
340,4,11,0.3359145,VGG16
341,4,11,0.34877726,Resnet50
342,4,11,0.34150317,Alexnet
343,4,11,0.33449325,VGG16
344,4,11,0.3528702,Resnet50
345,4,11,0.34856057,Alexnet
346,4,11,0.3336473,VGG16
347,4,11,0.35319924,Resnet50
348,4,11,0.3429068,Alexnet
349,4,11,0.33350325,VGG16
350,4,11,0.34831256,Resnet50
351,4,11,0.34499565,Alexnet
352,4,11,0.33491287,VGG16
353,4,11,0.34973457,Resnet50
354,4,11,0.34340578,Alexnet
355,4,11,0.33518866,VGG16
356,4,11,0.35028997,Resnet50
357,4,11,0.3448932,Alexnet
358,4,11,0.33519343,VGG16
359,4,11,0.35186964,Resnet50
360,4,12,0.33887854,Alexnet
361,4,12,0.33328217,VGG16
362,4,12,0.3427167,Resnet50
363,4,12,0.3406967,Alexnet
364,4,12,0.33392453,VGG16
365,4,12,0.34515968,Resnet50
366,4,12,0.3389583,Alexnet
367,4,12,0.33387575,VGG16
368,4,12,0.34310383,Resnet50
369,4,12,0.33914363,Alexnet
370,4,12,0.33346176,VGG16
371,4,12,0.3397236,Resnet50
372,4,12,0.33713496,Alexnet
373,4,12,0.33311507,VGG16
374,4,12,0.3431674,Resnet50
375,4,12,0.3386087,Alexnet
376,4,12,0.33254993,VGG16
377,4,12,0.34116387,Resnet50
378,4,12,0.3366573,Alexnet
379,4,12,0.33336174,VGG16
380,4,12,0.34173608,Resnet50
381,4,12,0.34036824,Alexnet
382,4,12,0.334977,VGG16
383,4,12,0.34429842,Resnet50
384,4,12,0.33897322,Alexnet
385,4,12,0.33519468,VGG16
386,4,12,0.34195974,Resnet50
387,4,12,0.33792445,Alexnet
388,4,12,0.3339203,VGG16
389,4,12,0.34024495,Resnet50
390,4,13,0.34258586,Alexnet
391,4,13,0.33570638,VGG16
392,4,13,0.34974962,Resnet50
393,4,13,0.34213245,Alexnet
394,4,13,0.33485368,VGG16
395,4,13,0.34553754,Resnet50
396,4,13,0.34284118,Alexnet
397,4,13,0.33503035,VGG16
398,4,13,0.3414346,Resnet50
399,4,13,0.3428847,Alexnet
400,4,13,0.33573782,VGG16
401,4,13,0.348397,Resnet50
402,4,13,0.34429482,Alexnet
403,4,13,0.336221,VGG16
404,4,13,0.34678552,Resnet50
405,4,13,0.34327635,Alexnet
406,4,13,0.33594105,VGG16
407,4,13,0.34484312,Resnet50
408,4,13,0.34362245,Alexnet
409,4,13,0.335195,VGG16
410,4,13,0.3480562,Resnet50
411,4,13,0.34436965,Alexnet
412,4,13,0.335456,VGG16
413,4,13,0.34434003,Resnet50
414,4,13,0.34374562,Alexnet
415,4,13,0.3350078,VGG16
416,4,13,0.3459449,Resnet50
417,4,13,0.34198427,Alexnet
418,4,13,0.33495533,VGG16
419,4,13,0.34286678,Resnet50
420,4,14,0.32890525,Alexnet
421,4,14,0.32840332,VGG16
422,4,14,0.34482318,Resnet50
423,4,14,0.3385953,Alexnet
424,4,14,0.33612576,VGG16
425,4,14,0.3472903,Resnet50
426,4,14,0.3386753,Alexnet
427,4,14,0.3342253,VGG16
428,4,14,0.34729645,Resnet50
429,4,14,0.33647084,Alexnet
430,4,14,0.33356854,VGG16
431,4,14,0.34291092,Resnet50
432,4,14,0.33413616,Alexnet
433,4,14,0.33084506,VGG16
434,4,14,0.34328368,Resnet50
435,4,14,0.33594066,Alexnet
436,4,14,0.32835382,VGG16
437,4,14,0.3440483,Resnet50
438,4,14,0.32674104,Alexnet
439,4,14,0.3277542,VGG16
440,4,14,0.3367983,Resnet50
