,Constrain,Graph,Prop_Correct,Network
180,4,6,0.34880215,Alexnet
181,4,6,0.34492013,VGG16
182,4,6,0.34808716,Resnet50
183,4,6,0.35213634,Alexnet
184,4,6,0.34667966,VGG16
185,4,6,0.35581657,Resnet50
186,4,6,0.3493861,Alexnet
187,4,6,0.3467784,VGG16
188,4,6,0.34511152,Resnet50
189,4,6,0.3478779,Alexnet
190,4,6,0.34575346,VGG16
191,4,6,0.3478374,Resnet50
192,4,6,0.3489344,Alexnet
193,4,6,0.34682637,VGG16
194,4,6,0.34597823,Resnet50
195,4,6,0.34816736,Alexnet
196,4,6,0.34580204,VGG16
197,4,6,0.3453329,Resnet50
198,4,6,0.3462839,Alexnet
199,4,6,0.34396887,VGG16
200,4,6,0.34221852,Resnet50
201,4,6,0.35154247,Alexnet
202,4,6,0.34664717,VGG16
203,4,6,0.3446234,Resnet50
204,4,6,0.34935403,Alexnet
205,4,6,0.342894,VGG16
206,4,6,0.34720215,Resnet50
207,4,6,0.3484593,Alexnet
208,4,6,0.34636244,VGG16
209,4,6,0.34393334,Resnet50
210,4,7,0.34108397,Alexnet
211,4,7,0.33633077,VGG16
212,4,7,0.3463907,Resnet50
213,4,7,0.34208888,Alexnet
214,4,7,0.33621743,VGG16
215,4,7,0.344977,Resnet50
216,4,7,0.34247744,Alexnet
217,4,7,0.3353587,VGG16
218,4,7,0.34255496,Resnet50
219,4,7,0.3430808,Alexnet
220,4,7,0.33583996,VGG16
221,4,7,0.3460933,Resnet50
222,4,7,0.3439938,Alexnet
223,4,7,0.336631,VGG16
224,4,7,0.34554872,Resnet50
225,4,7,0.34199214,Alexnet
226,4,7,0.3360974,VGG16
227,4,7,0.34264356,Resnet50
228,4,7,0.34103206,Alexnet
229,4,7,0.3358533,VGG16
230,4,7,0.3456537,Resnet50
231,4,7,0.3437283,Alexnet
232,4,7,0.33631015,VGG16
233,4,7,0.3435887,Resnet50
234,4,7,0.34226266,Alexnet
235,4,7,0.33649784,VGG16
236,4,7,0.3439534,Resnet50
237,4,7,0.34361053,Alexnet
238,4,7,0.33517992,VGG16
239,4,7,0.34146956,Resnet50
240,4,8,0.3416169,Alexnet
241,4,8,0.33442643,VGG16
242,4,8,0.3383003,Resnet50
243,4,8,0.34329858,Alexnet
244,4,8,0.33594626,VGG16
245,4,8,0.34052894,Resnet50
246,4,8,0.34000093,Alexnet
247,4,8,0.3360382,VGG16
248,4,8,0.3400187,Resnet50
249,4,8,0.34245113,Alexnet
250,4,8,0.33624554,VGG16
251,4,8,0.34125498,Resnet50
252,4,8,0.34513,Alexnet
253,4,8,0.33344975,VGG16
254,4,8,0.33807188,Resnet50
255,4,8,0.34252217,Alexnet
256,4,8,0.3367451,VGG16
257,4,8,0.34156984,Resnet50
258,4,8,0.3466214,Alexnet
259,4,8,0.33702204,VGG16
260,4,8,0.34103224,Resnet50
261,4,8,0.343362,Alexnet
262,4,8,0.33466536,VGG16
263,4,8,0.3400811,Resnet50
264,4,8,0.35253656,Alexnet
265,4,8,0.33518073,VGG16
266,4,8,0.34147668,Resnet50
267,4,8,0.3443743,Alexnet
268,4,8,0.337308,VGG16
269,4,8,0.34250852,Resnet50
270,4,9,0.3382114,Alexnet
