	FileName	Category	Stim_Set	Object
111	chair1sfm_Cycle1.avi	Chair	DQInva_Video_260508	40
112	chair2sfm_Cycle1.avi	Chair	DQInva_Video_260508	41
113	chair3sfm_Cycle1.avi	Chair	DQInva_Video_260508	42
114	chair4sfm_Cycle1.avi	Chair	DQInva_Video_260508	43
115	chair5sfm_Cycle1.avi	Chair	DQInva_Video_260508	44
116	chair7sfm_Cycle1.avi	Chair	DQInva_Video_260508	45
117	chair8sfm_Cycle1.avi	Chair	DQInva_Video_260508	46
118	chair9sfm_Cycle1.avi	Chair	DQInva_Video_260508	47
119	chair10sfm_Cycle1.avi	Chair	DQInva_Video_260508	48
120	chair11sfm_Cycle1.avi	Chair	DQInva_Video_260508	49
121	chair12sfm_Cycle1.avi	Chair	DQInva_Video_260508	50
122	chair13sfm_Cycle1.avi	Chair	DQInva_Video_260508	51
123	chair14sfm_Cycle1.avi	Chair	DQInva_Video_260508	52
124	chair15sfm_Cycle1.avi	Chair	DQInva_Video_260508	53
125	chair16sfm_Cycle1.avi	Chair	DQInva_Video_260508	54
126	chair17sfm_Cycle1.avi	Chair	DQInva_Video_260508	55
127	chair18sfm_Cycle1.avi	Chair	DQInva_Video_260508	56
128	chair19sfm_Cycle1.avi	Chair	DQInva_Video_260508	57
129	chair20sfm_Cycle1.avi	Chair	DQInva_Video_260508	58
130	tool1sfm_Cycle1.avi	Tool	DQInva_Video_260508	59
131	tool2sfm_Cycle1.avi	Tool	DQInva_Video_260508	60
132	tool3sfm_Cycle1.avi	Tool	DQInva_Video_260508	61
133	tool4sfm_Cycle1.avi	Tool	DQInva_Video_260508	62
134	tool5sfm_Cycle1.avi	Tool	DQInva_Video_260508	63
135	tool6sfm_Cycle1.avi	Tool	DQInva_Video_260508	64
136	tool7sfm_Cycle1.avi	Tool	DQInva_Video_260508	65
137	tool8sfm_Cycle1.avi	Tool	DQInva_Video_260508	66
138	tool9sfm_Cycle1.avi	Tool	DQInva_Video_260508	67
139	tool10sfm_Cycle1.avi	Tool	DQInva_Video_260508	68
140	tool11sfm_Cycle1.avi	Tool	DQInva_Video_260508	69
141	tool12sfm_Cycle1.avi	Tool	DQInva_Video_260508	70
142	tool13sfm_Cycle1.avi	Tool	DQInva_Video_260508	71
143	tool14sfm_Cycle1.avi	Tool	DQInva_Video_260508	72
144	tool15sfm_Cycle1.avi	Tool	DQInva_Video_260508	73
145	tool16sfm_Cycle1.avi	Tool	DQInva_Video_260508	74
146	tool17sfm_Cycle1.avi	Tool	DQInva_Video_260508	75
147	tool18sfm_Cycle1.avi	Tool	DQInva_Video_260508	76
148	tool19sfm_Cycle1.avi	Tool	DQInva_Video_260508	77
149	tool20sfm_Cycle1.avi	Tool	DQInva_Video_260508	78
150	body1sfm_Cycle2.avi	Body	DQInva_Video_260508	1
151	body2sfm_Cycle2.avi	Body	DQInva_Video_260508	2
152	body3sfm_Cycle2.avi	Body	DQInva_Video_260508	3
153	body4sfm_Cycle2.avi	Body	DQInva_Video_260508	4
154	body5sfm_Cycle2.avi	Body	DQInva_Video_260508	5
155	body6sfm_Cycle2.avi	Body	DQInva_Video_260508	6
156	body7sfm_Cycle2.avi	Body	DQInva_Video_260508	7
157	body8sfm_Cycle2.avi	Body	DQInva_Video_260508	8
158	body9sfm_Cycle2.avi	Body	DQInva_Video_260508	9
159	body10sfm_Cycle2.avi	Body	DQInva_Video_260508	10
160	body11sfm_Cycle2.avi	Body	DQInva_Video_260508	11
161	body12sfm_Cycle2.avi	Body	DQInva_Video_260508	12
162	body13sfm_Cycle2.avi	Body	DQInva_Video_260508	13
163	body14sfm_Cycle2.avi	Body	DQInva_Video_260508	14
164	body15sfm_Cycle2.avi	Body	DQInva_Video_260508	15
165	body16sfm_Cycle2.avi	Body	DQInva_Video_260508	16
166	body17sfm_Cycle2.avi	Body	DQInva_Video_260508	17
167	body18sfm_Cycle2.avi	Body	DQInva_Video_260508	18
168	body20sfm_Cycle2.avi	Body	DQInva_Video_260508	19
169	face1sfm_Cycle2.avi	Face	DQInva_Video_260508	20
170	face2sfm_Cycle2.avi	Face	DQInva_Video_260508	21
171	face3sfm_Cycle2.avi	Face	DQInva_Video_260508	22
172	face4sfm_Cycle2.avi	Face	DQInva_Video_260508	23
173	face5sfm_Cycle2.avi	Face	DQInva_Video_260508	24
174	face6sfm_Cycle2.avi	Face	DQInva_Video_260508	25
175	face7sfm_Cycle2.avi	Face	DQInva_Video_260508	26
176	face8sfm_Cycle2.avi	Face	DQInva_Video_260508	27
177	face9sfm_Cycle2.avi	Face	DQInva_Video_260508	28
178	face10sfm_Cycle2.avi	Face	DQInva_Video_260508	29
179	face11sfm_Cycle2.avi	Face	DQInva_Video_260508	30
180	face12sfm_Cycle2.avi	Face	DQInva_Video_260508	31
181	face13sfm_Cycle2.avi	Face	DQInva_Video_260508	32
182	face14sfm_Cycle2.avi	Face	DQInva_Video_260508	33
183	face15sfm_Cycle2.avi	Face	DQInva_Video_260508	34
